entity,code,year,unsafe_water_source,unsafe_sanitation,no_access_handwashing,sum,unsafe_water_perct,unsafe_sanitation_perct,no_handwashing_perct,country_name,safe_water_2017
Albania,ALB,2017,4.091663843299665,1.5979068485093384,4.5013012356546085,33143.859240424434,0.012345164193520356,0.004821124893507953,0.013581101714807324,Albania,70.0231498383663
American Samoa,ASM,2017,0.7200564599153209,0.17920528941780564,0.2937691232920192,2456.1209586836053,0.029316815907195624,0.007296272961811025,0.011960694454131003,American Samoa,12.5750831030386
Andorra,AND,2017,0.027021517297012743,0.01848820225168187,0.2063063499377336,2510.5196205956463,0.0010763316516363896,0.000736429307303934,0.008217675267114038,Andorra,90.63999663063558
Armenia,ARM,2017,3.045522970160869,4.3792854168186865,12.664884505504114,45787.3870632215,0.006651445224327227,0.009564392505673962,0.02766020364520238,Armenia,86.47635485123621
Austria,AUT,2017,2.4070161979045124,6.282777685384606,8.644877368514928,92259.81772788023,0.0026089539923046367,0.00680987437447104,0.009370143559152633,Austria,98.9062009731804
Azerbaijan,AZE,2017,89.05113818790664,86.75303303377345,67.60196523686129,131177.19854141056,0.06788614117246498,0.06613423216717568,0.05153484446118921,Azerbaijan,73.5643314527719
Bahrain,BHR,2017,4.737998729295866,1.190416055688564,3.650144168307156,6921.886423404192,0.06844953007717385,0.017197855943771986,0.0527333727402018,Bahrain,98.9832621252058
Bangladesh,BGD,2017,25397.4982697344,17744.992604291914,16129.921134858183,1116940.38521903,2.2738454626433797,1.5887143879046106,1.4441165659611397,Bangladesh,55.4412263929523
Belarus,BLR,2017,4.639462352594705,3.666460599812511,13.961337388356672,208145.8396244937,0.0022289479150602027,0.0017614863724526048,0.0067074784744886925,Belarus,94.52139030136509
Belgium,BEL,2017,21.015794927078854,13.572910393114094,51.11025298296952,105557.45264749521,0.019909342637568415,0.01285831559277986,0.04841936945338205,Belgium,99.5231889841464
Bhutan,BTN,2017,84.07763476038394,61.96811598197964,25.064533166525926,6357.798979950097,1.3224330468064573,0.9746787556102636,0.3942328665245509,Bhutan,36.1631110705627
Bosnia and Herzegovina,BIH,2017,3.3436956188950355,1.0292706919725485,3.0657227193083307,61157.25155888671,0.00546737391505483,0.0016829904316113533,0.005012852345655898,Bosnia and Herzegovina,88.84189490036579
Bulgaria,BGR,2017,8.611547094769104,0.719961000595845,10.225453838370925,177840.25737148328,0.004842293427849012,0.0004048357842240116,0.005749797031057703,Bulgaria,96.94593519449629
Cambodia,KHM,2017,1242.053553768809,811.2047488575392,945.582363633972,112169.16213044818,1.1073039418127695,0.7231976538383528,0.8429967253694006,Cambodia,25.8455487850533
Canada,CAN,2017,47.82314360783391,61.042862498907844,91.83967058253866,261277.30870602542,0.01830359622298538,0.023363246812829756,0.035150266602704296,Canada,98.8608540486569
Chile,CHL,2017,100.05418722552784,57.354208153370436,86.6902177012858,113362.6563079183,0.08826027060777256,0.05059356407244339,0.07647158290452882,Chile,98.63916972636521
Colombia,COL,2017,520.1231751038613,116.56800723469131,382.4000050098835,223912.25746562437,0.23228883536387554,0.05205968112424,0.1707811842630324,Colombia,73.23342574219821
Congo,COG,2017,1707.2787170944275,1272.3052819115105,1196.174172569902,40560.862383393905,4.20917755879226,3.1367806480179947,2.9490846650726783,"Congo, Rep.",45.354813073232
Costa Rica,CRI,2017,37.37146848513589,4.237475774499283,39.8113790164679,24638.433947482023,0.15167956114741274,0.017198640885746477,0.16158242484618837,Costa Rica,93.80279699014359
Cote d'Ivoire,CIV,2017,9363.352589402297,6735.50856826801,7127.215859563281,176770.05298523576,5.296911117735732,3.810322197974662,4.031913629713378,Cote d'Ivoire,36.549103713684104
Croatia,HRV,2017,8.835385653064161,1.5390179319803512,3.9926195276969683,74967.62669934145,0.011785601388314693,0.002052910035624578,0.005325791549610361,Croatia,89.95941126551399
Cyprus,CYP,2017,1.1625732152477115,0.566744212213464,1.6627131949336007,11386.43452711011,0.01021016027870468,0.00497736329018619,0.014602579859172116,Cyprus,99.61328614893209
Czechia,CZE,2017,52.547090694503524,3.7592418125908305,22.410954661068764,159979.54405917405,0.032846131049771674,0.0023498265573255687,0.014008637662312182,Czech Republic,97.88131195077659
Denmark,DNK,2017,8.557294331874674,4.721509010498402,22.169263386384202,54902.084004825985,0.015586465408348568,0.008599872110653165,0.04037963911248885,Denmark,96.73467193577379
Ecuador,ECU,2017,208.26529580835134,76.70379342043258,281.9855066743295,84259.1637509299,0.24717227959202584,0.0910331766965656,0.3346644971553227,Ecuador,75.06801241637609
